"","PMID","ShortAffil","NAuth","lat","long","country"
"156","25946737",NA,2,NA,NA,NA
"157","25837896",NA,1,NA,NA,NA
"158","27604911",NA,0,NA,NA,NA
"159","26058217",NA,5,NA,NA,NA
"160","28248467",NA,3,NA,NA,NA
"161","26552287",NA,1,NA,NA,NA
"162","26501757",NA,3,NA,NA,NA
"163","25773071",NA,0,NA,NA,NA
"164","27864271",NA,1,NA,NA,NA
"165","26912509",NA,1,NA,NA,NA
"166","26234947",NA,4,NA,NA,NA
"167","26204174",NA,6,NA,NA,NA
"168","27382860",NA,1,NA,NA,NA
"169","27708316",NA,1,NA,NA,NA
"170","26415046",NA,4,NA,NA,NA
"171","25472734",NA,1,NA,NA,NA
"172","29236381",NA,2,NA,NA,NA
"173","26951594",NA,2,NA,NA,NA
"174","26815802",NA,1,NA,NA,NA
"175","26497970",NA,3,NA,NA,NA
"176","26332619",NA,1,NA,NA,NA
"177","26552281",NA,1,NA,NA,NA
"178","28661867",NA,2,NA,NA,NA
"179","26461188",NA,7,NA,NA,NA
"180","26062327",NA,4,NA,NA,NA
"181","27797348",NA,1,NA,NA,NA
"182","26292384",NA,1,NA,NA,NA
"183","25720130",NA,1,NA,NA,NA
"184","25895763",NA,1,NA,NA,NA
"185","26213508",NA,1,NA,NA,NA
"186","26812760",NA,1,NA,NA,NA
"187","25562127",NA,1,NA,NA,NA
"188","26766860",NA,1,NA,NA,NA
"189","27089573",NA,1,NA,NA,NA
"190","25769637",NA,12,NA,NA,NA
"191","28941428",NA,5,NA,NA,NA
"192","27959578",NA,0,NA,NA,NA
"193","26122056",NA,1,NA,NA,NA
"194","25842277",NA,6,NA,NA,NA
"195","26293360",NA,1,NA,NA,NA
"196","27397046",NA,1,NA,NA,NA
"197","25777632",NA,7,NA,NA,NA
"198","25679295",NA,0,NA,NA,NA
"199","27337283",NA,3,NA,NA,NA
"200","26110945",NA,1,NA,NA,NA
"201","26095842",NA,1,NA,NA,NA
"202","27286005",NA,0,NA,NA,NA
"203","26281409",NA,5,NA,NA,NA
"204","27466572",NA,0,NA,NA,NA
"205","25643108",NA,2,NA,NA,NA
"206","26053669",NA,8,NA,NA,NA
"207","25673162",NA,0,NA,NA,NA
"208","27637696",NA,3,NA,NA,NA
"209","27601688",NA,1,NA,NA,NA
"210","26289924",NA,1,NA,NA,NA
"211","27634694",NA,1,NA,NA,NA
"212","25072433",NA,1,NA,NA,NA
"213","27633411",NA,3,NA,NA,NA
"214","27326449",NA,1,NA,NA,NA
"215","28018535",NA,3,NA,NA,NA
"216","26163389",NA,1,NA,NA,NA
"217","28937201",NA,0,NA,NA,NA
"218","26416224",NA,1,NA,NA,NA
"219","27167915",NA,10,NA,NA,NA
"220","26619685",NA,1,NA,NA,NA
"221","27661396",NA,0,NA,NA,NA
"222","29112350",NA,1,NA,NA,NA
"223","25625968",NA,1,NA,NA,NA
"224","26737142",NA,3,NA,NA,NA
"225","25835409",NA,2,NA,NA,NA
"226","27570132",NA,1,NA,NA,NA
"227","25615636",NA,1,NA,NA,NA
"228","29462524",NA,2,NA,NA,NA
"229","26803887",NA,1,NA,NA,NA
"230","28066073",NA,1,NA,NA,NA
"231","28268311",NA,3,NA,NA,NA
"232","27192508",NA,4,NA,NA,NA
"233","26599843",NA,1,NA,NA,NA
"234","25713845",NA,1,NA,NA,NA
"235","26283687",NA,0,NA,NA,NA
"236","27459077",NA,1,NA,NA,NA
"237","25726141",NA,1,NA,NA,NA
"238","25741741",NA,3,NA,NA,NA
"239","26243803",NA,1,NA,NA,NA
"240","25736649",NA,1,NA,NA,NA
"241","26686520",NA,1,NA,NA,NA
"242","27200452",NA,1,NA,NA,NA
"243","27077151",NA,1,NA,NA,NA
"244","26054106",NA,5,NA,NA,NA
"245","26295134",NA,2,NA,NA,NA
"246","27018956",NA,5,NA,NA,NA
"247","26856067",NA,1,NA,NA,NA
"248","26706478",NA,1,NA,NA,NA
"249","27359293",NA,1,NA,NA,NA
"250","25497283",NA,1,NA,NA,NA
"251","27227177",NA,1,NA,NA,NA
"252","27054219",NA,2,NA,NA,NA
"253","25771649",NA,1,NA,NA,NA
"254","26778082",NA,1,NA,NA,NA
"255","27732095",NA,5,NA,NA,NA
"256","26451445",NA,0,NA,NA,NA
"257","26926245",NA,1,NA,NA,NA
"258","26400973",NA,1,NA,NA,NA
"259","27638088",NA,3,NA,NA,NA
"260","27032223",NA,2,NA,NA,NA
"261","27647717",NA,5,NA,NA,NA
"262","26677534",NA,1,NA,NA,NA
"263","26390537",NA,1,NA,NA,NA
"264","26856997",NA,2,NA,NA,NA
"265","26427141",NA,3,NA,NA,NA
"266","26901979",NA,1,NA,NA,NA
"267","25909864",NA,1,NA,NA,NA
"268","26913103",NA,2,NA,NA,NA
"269","28107077",NA,4,NA,NA,NA
"270","26715679",NA,1,NA,NA,NA
"271","25911864",NA,6,NA,NA,NA
"272","27408941",NA,1,NA,NA,NA
"273","27280262",NA,1,NA,NA,NA
"274","26457787",NA,3,NA,NA,NA
"275","25987239",NA,1,NA,NA,NA
"276","26697629",NA,1,NA,NA,NA
"277","28452323",NA,1,NA,NA,NA
"278","26888942",NA,1,NA,NA,NA
"279","26589709",NA,7,NA,NA,NA
"280","25561586",NA,7,NA,NA,NA
"281","26846395",NA,1,NA,NA,NA
"282","27082186",NA,1,NA,NA,NA
"283","27358959",NA,4,NA,NA,NA
"284","26023114",NA,1,NA,NA,NA
"285","26413589",NA,1,NA,NA,NA
"286","25995409",NA,1,NA,NA,NA
"287","27349928",NA,23,NA,NA,NA
"288","27443130",NA,2,NA,NA,NA
"289","27305827",NA,9,NA,NA,NA
"290","27303015",NA,1,NA,NA,NA
"291","25906311",NA,1,NA,NA,NA
"292","26834207",NA,3,NA,NA,NA
"293","26633087",NA,1,NA,NA,NA
"294","28230824",NA,0,NA,NA,NA
"295","24695036",NA,4,NA,NA,NA
"296","26263285",NA,1,NA,NA,NA
"297","25939193",NA,1,NA,NA,NA
"298","27390137",NA,2,NA,NA,NA
"299","27222588",NA,1,NA,NA,NA
"300","26151789",NA,4,NA,NA,NA
"301","26243296",NA,1,NA,NA,NA
"302","27048162",NA,0,NA,NA,NA
"303","26179091",NA,7,NA,NA,NA
"304","27630366",NA,0,NA,NA,NA
"305","27875114",NA,1,NA,NA,NA
"306","26359829",NA,1,NA,NA,NA
"307","26099133",NA,1,NA,NA,NA
"308","26446535",NA,0,NA,NA,NA
"309","26079421",NA,1,NA,NA,NA
"310","29211411",NA,3,NA,NA,NA
"311","27538299",NA,0,NA,NA,NA
"312","27890329",NA,0,NA,NA,NA
"313","26370324",NA,5,NA,NA,NA
"314","26736709",NA,5,NA,NA,NA
"315","27092959",NA,2,NA,NA,NA
"316","26994705",NA,1,NA,NA,NA
"317","27720086",NA,1,NA,NA,NA
"318","27593091",NA,1,NA,NA,NA
"319","26491749",NA,1,NA,NA,NA
"320","26594684",NA,2,NA,NA,NA
"321","26737295",NA,4,NA,NA,NA
"322","25698395",NA,2,NA,NA,NA
"323","26656479",NA,3,NA,NA,NA
"324","26881915",NA,3,NA,NA,NA
"325","28088835",NA,1,NA,NA,NA
"326","26250969",NA,1,NA,NA,NA
"327","26913100",NA,3,NA,NA,NA
"328","26921833",NA,1,NA,NA,NA
"329","27031220",NA,0,NA,NA,NA
"330","26497660",NA,16,NA,NA,NA
"331","26687851",NA,2,NA,NA,NA
"332","25583669",NA,1,NA,NA,NA
"333","26444366",NA,1,NA,NA,NA
"334","25486456",NA,1,NA,NA,NA
"335","26401716",NA,6,NA,NA,NA
"336","27471757",NA,1,NA,NA,NA
"337","25974956",NA,5,NA,NA,NA
"338","27035008",NA,6,NA,NA,NA
"339","26895149",NA,2,NA,NA,NA
"340","27496284",NA,1,NA,NA,NA
"341","27308676",NA,2,NA,NA,NA
"342","26122145",NA,0,NA,NA,NA
"343","26193750",NA,1,NA,NA,NA
"344","26304825",NA,4,NA,NA,NA
"345","25933271",NA,1,NA,NA,NA
"346","26658963",NA,0,NA,NA,NA
"347","25739774",NA,1,NA,NA,NA
"348","27762019",NA,3,NA,NA,NA
"349","25932676",NA,1,NA,NA,NA
"350","26322346",NA,1,NA,NA,NA
"351","26854303",NA,6,NA,NA,NA
"352","27442909",NA,5,NA,NA,NA
"353","27601698",NA,1,NA,NA,NA
"354","27292348",NA,1,NA,NA,NA
"355","25907342",NA,1,NA,NA,NA
"356","26364347",NA,1,NA,NA,NA
"357","27443105",NA,1,NA,NA,NA
"358","26737980",NA,3,NA,NA,NA
"359","26259306",NA,1,NA,NA,NA
"360","27463648",NA,1,NA,NA,NA
"361","27755644",NA,7,NA,NA,NA
"362","25826169",NA,3,NA,NA,NA
"363","26148283",NA,1,NA,NA,NA
"364","26867342",NA,2,NA,NA,NA
"365","25773209",NA,1,NA,NA,NA
"366","25833931",NA,2,NA,NA,NA
"367","25664457",NA,2,NA,NA,NA
"368","26188191",NA,8,NA,NA,NA
"369","27568436",NA,0,NA,NA,NA
"370","25573039",NA,2,NA,NA,NA
"371","26621652",NA,4,NA,NA,NA
"372","27311314",NA,2,NA,NA,NA
"373","25758906",NA,0,NA,NA,NA
"374","26470404",NA,1,NA,NA,NA
"375","25767161",NA,1,NA,NA,NA
"376","26152533",NA,1,NA,NA,NA
"377","26182803",NA,4,NA,NA,NA
"378","26182573",NA,1,NA,NA,NA
"379","25720616",NA,5,NA,NA,NA
"380","27144238",NA,2,NA,NA,NA
"381","27173122",NA,0,NA,NA,NA
"382","26618819",NA,4,NA,NA,NA
"383","27312031",NA,2,NA,NA,NA
"384","26994701",NA,1,NA,NA,NA
"385","27903159",NA,3,NA,NA,NA
"386","26116850",NA,4,NA,NA,NA
"387","27927673",NA,1,NA,NA,NA
"388","25806377",NA,0,NA,NA,NA
"389","26789895",NA,1,NA,NA,NA
"390","25834174",NA,1,NA,NA,NA
"391","27146183",NA,7,NA,NA,NA
"392","28269475",NA,9,NA,NA,NA
"393","26475281",NA,5,NA,NA,NA
"394","26489721",NA,1,NA,NA,NA
"395","26383626",NA,4,NA,NA,NA
"396","26302614",NA,1,NA,NA,NA
"397","26221437",NA,6,NA,NA,NA
"398","25782855",NA,1,NA,NA,NA
"399","26470547",NA,1,NA,NA,NA
"400","25823065",NA,2,NA,NA,NA
"401","26176515",NA,1,NA,NA,NA
"402","26911094",NA,1,NA,NA,NA
"403","27815947",NA,8,NA,NA,NA
"404","26215049",NA,1,NA,NA,NA
"405","25918352",NA,1,NA,NA,NA
"406","25565540",NA,1,NA,NA,NA
"407","25706352",NA,2,NA,NA,NA
"408","26625472",NA,1,NA,NA,NA
"409","27081889",NA,6,NA,NA,NA
"410","26638457",NA,3,NA,NA,NA
"411","26399262",NA,1,NA,NA,NA
"412","26589991",NA,1,NA,NA,NA
"413","25428525",NA,10,NA,NA,NA
"414","27719771",NA,1,NA,NA,NA
"415","26560159","a integrated medicines ltd , cambridge , uk",2,52.2093277,-0.0942855,"United Kingdom"
"416","26916127","university of arkansas for medical sciences, little rock, ar",4,34.7485426,-92.3214566,"United States"
"417","26916127","university of arkansas for medical sciences, little rock, ar",4,34.7485426,-92.3214566,"United States"
"418","26916127","university of arkansas for medical sciences, little rock, ar",4,34.7485426,-92.3214566,"United States"
"419","26916127","university of arkansas for medical sciences, little rock, ar",4,34.7485426,-92.3214566,"United States"
"420","26916127","arkansas trauma education and research foundation, little rock, ar",4,34.7554527,-92.3446758,"United States"
"421","27331591","key populations and innovative prevention team, world health organization, geneva, switzerland",4,46.2327276,6.1343571,"Switzerland"
"422","27331591","edinburgh university, midlothian eh16 4tj scotland, united kingdom",4,55.922117,-3.1391313,"United Kingdom"
"423","27331591","boston university school of public health, boston, ma",4,42.3355512,-71.0716876,"United States"
"424","27331591","and §sigma3 services sàrl, nyon, switzerland",4,46.3844831,6.240901,"Switzerland"
"425","26245241","the university of edinburgh, edinburgh, uk",5,55.9445158,-3.1892413,"United Kingdom"
"426","26245241","the university of edinburgh, edinburgh, uk",5,55.9445158,-3.1892413,"United Kingdom"
"427","26245241","the university of edinburgh, edinburgh, uk",5,55.9445158,-3.1892413,"United Kingdom"
"428","26245241","the university of edinburgh, edinburgh, uk",5,55.9445158,-3.1892413,"United Kingdom"
"429","25969470","university college london, london, uk",20,51.5245592,-0.1340401,"United Kingdom"
"430","26245241","university college london, london, uk",5,51.5245592,-0.1340401,"United Kingdom"
"431","25969470","university college london, london, uk",20,51.5245592,-0.1340401,"United Kingdom"
"432","26783236","university college london, london, uk",7,51.5245592,-0.1340401,"United Kingdom"
"433","26245241","boston, ma, usa",5,42.3600825,-71.0588801,"United States"
"434","25976162","clinical epidemiology program, ottawa hospital research institute",15,45.4018515,-75.6478698,"Canada"
"435","25976162","clinical epidemiology program, ottawa hospital research institute",15,45.4018515,-75.6478698,"Canada"
"436","25976162","university of ottawa, canada",15,45.4231064,-75.6831329,"Canada"
"437","25976162","university of ottawa, canada",15,45.4231064,-75.6831329,"Canada"
"438","25976162","library services, children's hospital of eastern ontario, canada",15,45.4011209,-75.6516854,"Canada"
"439","25976162","child and youth data laboratory, alberta centre for child, family and community research, canada",15,53.5376988,-113.5079947,"Canada"
"440","25976162","brown university, usa",15,41.8267718,-71.4025482,"United States"
"441","25976162","university of queensland, australia",15,-27.4954306,153.0120301,"Australia"
"442","25976162","centre for rehabilitation research, sydney medical school - northern, university of sydney, australia",15,-33.888584,151.1873473,"Australia"
"443","25976162","the hospital for sick children, university of toronto, canada",15,43.6573065,-79.3874268,"Canada"
"444","25976162","institute of health policy, management and evaluation, dalla lana school of public health, university of toronto, canada",15,43.659082,-79.3929147,"Canada"
"445","25976162","tufts university school of medicine, usa",15,42.3500608,-71.0622634,"United States"
"446","25976162","university of california, merced, usa",15,37.3641651,-120.4254615,"United States"
"447","25976162","university of california, davis, usa",15,38.5382322,-121.7617125,"United States"
"448","25976162","mcmaster university, canada",15,43.260879,-79.9192254,"Canada"
"449","25976162","centre for statistics in medicine, university of oxford, uk",15,51.7548164,-1.2543668,"United Kingdom"
"450","25976162","faculty of medicine and dentistry, university of alberta, canada",15,53.5232189,-113.5263186,"Canada"
"451","27756274","centre for mental health research, school of health sciences, city university london, northampton square, london, ec1v 0hb, uk",5,51.5278249,-0.1025445,"United Kingdom"
"452","27756274","east london nhs foundation trust, london, uk",5,51.5136847,-0.0721053,"United Kingdom"
"453","27756274","cmh lahore medical college and institute of dentistry, lahore, pakistan",5,31.5408931,74.3726762,"Pakistan"
"454","27756274","cmh lahore medical college and institute of dentistry, lahore, pakistan",5,31.5408931,74.3726762,"Pakistan"
"455","27756274","cmh lahore medical college and institute of dentistry, lahore, pakistan",5,31.5408931,74.3726762,"Pakistan"
"456","27756274","cmh lahore medical college and institute of dentistry, lahore, pakistan",5,31.5408931,74.3726762,"Pakistan"
"457","27062610","royal children's hospital, melbourne, victoria, australia",3,-37.7949981,144.9499075,"Australia"
"458","27062610","royal children's hospital, melbourne, victoria, australia",3,-37.7949981,144.9499075,"Australia"
"459","27062610","infectious diseases unit, royal children's hospital, melbourne, victoria, australia",3,-37.7935378,144.9488164,"Australia"
"460","27062610","infectious diseases unit, royal children's hospital, melbourne, victoria, australia",3,-37.7935378,144.9488164,"Australia"
"461","27062610","university of melbourne, melbourne, victoria, australia",3,-37.7963689,144.9611738,"Australia"
"462","27062610","university of melbourne, melbourne, victoria, australia",3,-37.7963689,144.9611738,"Australia"
"463","27062610","children's hospital at westmead, westmead, new south wales, australia",3,-33.8022988,150.9926182,"Australia"
"464","27651206","royal perth hospital, the university of western australia, perth, western australia, australia",1,-31.953946,115.8659043,"Australia"
"465","26523432","a faculty of occupational therapy , university of akureyri , iceland",2,65.685463,-18.1223199,"Iceland"
"466","26523432","b faculty of social and human sciences , university of iceland , iceland",2,64.1396203,-21.9518896,"Iceland"
"467","27894651","institute of global health innovation, imperial college london, london sw7 2az, uk",2,51.4990263,-0.1749091,"United Kingdom"
"468","27894651","world bank group, washington, dc, usa",2,38.8989548,-77.0424472,"United States"
"469","25468476","d. university, rohtak, 124001, haryana, india",5,28.8768269,76.621108,"India"
"470","25468476","d. university, rohtak, 124001, haryana, india",5,28.8768269,76.621108,"India"
"471","25468476","d. university, rohtak, 124001, haryana, india",5,28.8768269,76.621108,"India"
"472","25468476","d. university, rohtak, 124001, haryana, india",5,28.8768269,76.621108,"India"
